id,name,game,follower_count,avg_viewers
674,xQc,Dota 2,1743454,34609
675,xQc,Minecraft,9037854,36255
676,xQc,Apex Legends,5164665,10957
677,Rubius,GTA V,6640678,18099
678,Rubius,Valorant,2091159,44710
679,Pokimane,GTA V,948194,32415
680,Tfue,GTA V,5504612,38735
681,Rubius,World of Warcraft,2817391,40983
682,DrDisrespect,Call of Duty,7473862,29386
683,Myth,World of Warcraft,5813968,33344
684,xQc,Call of Duty,4624049,24195
685,xQc,GTA V,2369725,25785
686,Summit1G,GTA V,5569069,25080
687,Asmongold,Apex Legends,8931936,4178
688,xQc,Call of Duty,3618589,3730
689,Ninja,World of Warcraft,2714387,11940
690,Summit1G,Apex Legends,3159410,16765
691,Asmongold,Apex Legends,7859894,5326
692,Tfue,Valorant,3807829,26665
693,Pokimane,Apex Legends,4715210,36412
694,Pokimane,Counter-Strike,6640660,43560
695,Tfue,League of Legends,4178228,6747
696,Shroud,Minecraft,4758551,26114
697,DrDisrespect,Apex Legends,8673423,32770
698,xQc,Call of Duty,4612260,43611
699,Rubius,Dota 2,9040854,19816
700,Asmongold,Valorant,5536369,45384
701,Summit1G,Minecraft,2058616,30518
702,Tfue,Call of Duty,5200341,46694
703,xQc,Apex Legends,7639286,39412
704,Summit1G,Dota 2,1141689,20203
705,Summit1G,Valorant,3743301,4662
706,xQc,World of Warcraft,3105679,9267
707,Summit1G,Valorant,2099764,47673
708,Rubius,Minecraft,6136676,14789
709,Myth,Minecraft,2626385,28580
710,Tfue,Apex Legends,3086073,15290
711,Shroud,World of Warcraft,2918168,11745
712,Ninja,Counter-Strike,3859286,27638
713,Pokimane,GTA V,6635846,19921
714,Ninja,Fortnite,9313199,49318
715,Shroud,Counter-Strike,7047313,33857
716,Shroud,World of Warcraft,6146620,35560
717,Ninja,Minecraft,7192489,25863
718,xQc,Counter-Strike,875599,13474
719,Ninja,Call of Duty,4738554,35902
720,Ninja,GTA V,9791344,47276
721,Pokimane,World of Warcraft,8687262,20344
722,Rubius,Fortnite,732304,6505
723,Asmongold,Fortnite,1577615,45567
724,Myth,GTA V,1310885,34616
725,Pokimane,GTA V,1551134,25001
726,Myth,Apex Legends,818520,2940
727,Rubius,Dota 2,8682089,48827
728,DrDisrespect,Call of Duty,9348254,31672
729,Rubius,GTA V,7978788,35098
730,DrDisrespect,Apex Legends,2087575,45268
731,DrDisrespect,GTA V,257980,30588
732,Shroud,Call of Duty,2391617,41387
733,xQc,World of Warcraft,1934902,49967
734,Summit1G,Valorant,5979914,33014
735,Ninja,Minecraft,1647733,17500
736,Summit1G,Minecraft,3578093,18342
737,Ninja,Call of Duty,1186111,12478
738,Asmongold,Minecraft,2504429,26606
739,Tfue,GTA V,9681264,2467
740,Ninja,Counter-Strike,812287,23745
741,Rubius,League of Legends,5523117,11250
742,Myth,Dota 2,571332,20782
743,Rubius,Counter-Strike,397492,23497
744,Shroud,Counter-Strike,6411250,10170
745,DrDisrespect,League of Legends,4484999,22446
746,Summit1G,GTA V,6563910,15204
747,Shroud,Counter-Strike,1511919,40869
748,Asmongold,Counter-Strike,4658085,6309
749,Asmongold,GTA V,8169227,2713
750,Rubius,GTA V,5936090,40885
751,Summit1G,Minecraft,8926630,21518
752,DrDisrespect,GTA V,5613826,15938
753,xQc,Valorant,5510539,47629
754,Shroud,Apex Legends,271962,42354
755,Pokimane,Dota 2,6394510,17635
756,Ninja,Counter-Strike,1580298,5403
757,DrDisrespect,Dota 2,4801115,533
758,Tfue,Minecraft,3033083,17896
759,xQc,Valorant,8262207,4293
760,Pokimane,Call of Duty,7474584,12633
761,Shroud,GTA V,2053110,26734
762,Shroud,GTA V,6026477,25959
763,Ninja,Apex Legends,4258787,22352
764,xQc,Dota 2,9897080,13662
765,Asmongold,Minecraft,3643729,11747
766,Rubius,GTA V,5282033,8123
767,Pokimane,Counter-Strike,4466957,4933
768,Ninja,GTA V,3575774,14008
769,xQc,Minecraft,1786544,4700
770,Asmongold,World of Warcraft,4788325,34525
771,Tfue,Dota 2,3416321,13034
772,Ninja,Minecraft,8482363,41531
773,Asmongold,Valorant,6832538,27847
774,Asmongold,League of Legends,556562,26022
775,Asmongold,Fortnite,3276346,48738
776,Rubius,World of Warcraft,8838797,39976
777,xQc,GTA V,1319211,35398
778,Tfue,World of Warcraft,1304745,20573
779,Asmongold,World of Warcraft,8119200,49789
780,Shroud,League of Legends,7604598,16751
781,Asmongold,League of Legends,5462831,15223
782,Tfue,Valorant,3188786,22803
783,xQc,Minecraft,1056084,3984
784,Pokimane,Valorant,820919,21120
785,Tfue,Call of Duty,4199773,30907
786,DrDisrespect,World of Warcraft,4166433,14969
787,Shroud,Call of Duty,5622768,38505
788,Ninja,Apex Legends,6648163,47645
789,Tfue,Call of Duty,6755247,8081
790,Shroud,Fortnite,7435442,10324
791,Pokimane,League of Legends,3113883,3768
792,Rubius,Apex Legends,7138993,21379
793,Rubius,Dota 2,9158848,2092
794,Summit1G,World of Warcraft,2704063,20876
795,DrDisrespect,Apex Legends,4305897,34314
796,Rubius,Dota 2,393840,33728
797,DrDisrespect,Fortnite,2329767,851
798,xQc,League of Legends,3730480,3019
799,Summit1G,World of Warcraft,6738531,20944
800,Ninja,Valorant,7699397,26279
801,DrDisrespect,Counter-Strike,6974461,11111
802,Summit1G,Valorant,8762380,7767
803,Shroud,GTA V,429572,14347
804,Tfue,Counter-Strike,7819524,49352
805,Myth,Minecraft,2896376,12286
806,Rubius,GTA V,4542492,47675
807,Pokimane,League of Legends,4494435,37385
808,Summit1G,Fortnite,9886035,25024
809,Asmongold,GTA V,4462135,8825
810,Tfue,Fortnite,1430841,8900
811,Shroud,World of Warcraft,3234433,5987
812,Shroud,GTA V,5932613,30240
813,Myth,Dota 2,1193152,28865
814,Shroud,Apex Legends,5172960,24574
815,Myth,Call of Duty,775598,3887
816,Pokimane,Call of Duty,8745223,41793
817,Myth,Counter-Strike,5202767,9445
818,Summit1G,Fortnite,5973354,10586
819,Rubius,Minecraft,6699990,16317
820,xQc,Dota 2,7544147,2878
821,Asmongold,Fortnite,3667243,32178
822,Myth,Dota 2,6383866,39136
823,Myth,Call of Duty,8893023,4309
824,Ninja,World of Warcraft,4923602,49071
825,Asmongold,Apex Legends,5207387,38736
826,Myth,Counter-Strike,8366128,9086
827,Asmongold,Apex Legends,5497570,46586
828,Tfue,Dota 2,2193015,47269
829,xQc,GTA V,5388096,30923
830,Myth,League of Legends,1709912,6192
831,Myth,Valorant,3489038,10557
832,Tfue,Minecraft,8369817,8231
833,Rubius,Minecraft,1933242,34056
834,DrDisrespect,Fortnite,7133526,22027
835,Ninja,Dota 2,8039520,49598
836,Asmongold,GTA V,7861301,42340
837,Rubius,GTA V,938184,26270
838,Pokimane,Fortnite,4106184,45677
839,Pokimane,GTA V,6745581,15734
840,Ninja,Dota 2,8524301,21124
841,Summit1G,League of Legends,7183329,30702
842,Summit1G,Fortnite,2001639,7459
843,DrDisrespect,Counter-Strike,3932467,8364
844,Rubius,Dota 2,5118215,40263
845,Tfue,Valorant,5407514,48576
846,Myth,Valorant,3523106,19711
847,Tfue,Valorant,8734341,38881
848,DrDisrespect,Valorant,3633504,39973
849,Ninja,Fortnite,9045392,6040
850,xQc,Dota 2,6573046,30792
851,DrDisrespect,League of Legends,529764,19822
852,Pokimane,Minecraft,8002919,46237
853,Ninja,League of Legends,2378305,28702
854,xQc,GTA V,2712829,15906
855,xQc,Apex Legends,2774931,38945
856,Rubius,Dota 2,6282656,48928
857,Tfue,Dota 2,1793854,18886
858,Shroud,Valorant,3529074,38074
859,Tfue,Fortnite,785541,11596
860,Asmongold,Call of Duty,9595272,39559
861,Pokimane,Minecraft,6515342,47051
862,DrDisrespect,Valorant,975827,34380
863,Pokimane,GTA V,2621455,22582
864,Asmongold,Valorant,4764856,12161
865,xQc,World of Warcraft,1578864,25225
866,xQc,World of Warcraft,185594,27985
867,Summit1G,Valorant,7396124,11734
868,Tfue,Dota 2,6643771,4176
869,Pokimane,League of Legends,911641,45319
870,Summit1G,Call of Duty,6375152,26379
871,Summit1G,Counter-Strike,2265919,16689
872,Asmongold,Apex Legends,6319121,21544
873,Shroud,Apex Legends,445343,19376
874,DrDisrespect,League of Legends,9001408,1736
875,Shroud,Minecraft,2809712,36783
876,Pokimane,Dota 2,8900268,31715
877,Summit1G,Counter-Strike,121580,27503
878,Pokimane,Call of Duty,9469480,41378
879,Ninja,Minecraft,4543386,26482
880,Pokimane,Fortnite,3379722,38334
881,Rubius,Fortnite,3619020,25713
882,DrDisrespect,Apex Legends,8026227,44832
883,Summit1G,Minecraft,8774657,33534
884,Asmongold,Counter-Strike,9319098,30181
885,DrDisrespect,Dota 2,7126187,5462
886,Summit1G,GTA V,230912,2397
887,xQc,Dota 2,3455858,29228
888,xQc,Minecraft,7170606,30236
889,Summit1G,League of Legends,6033510,29733
890,Myth,GTA V,5720905,43121
891,Tfue,Apex Legends,9019160,47696
892,Tfue,Dota 2,3073810,36865
893,Rubius,World of Warcraft,1599535,24780
894,Asmongold,Dota 2,9104549,17499
895,Summit1G,League of Legends,5949288,37656
896,Pokimane,GTA V,2944947,33717
897,Ninja,World of Warcraft,4545806,37871
898,Pokimane,Minecraft,8763608,7879
899,Rubius,Call of Duty,2029447,41147
900,Asmongold,Counter-Strike,2549628,7825
901,DrDisrespect,Call of Duty,9814099,18289
902,DrDisrespect,Apex Legends,9443523,20680
903,Ninja,World of Warcraft,106813,4502
904,DrDisrespect,Minecraft,7240176,36187
905,Asmongold,Minecraft,5199234,23808
906,Asmongold,Call of Duty,7949187,13636
907,Asmongold,Minecraft,7740634,7045
908,Pokimane,World of Warcraft,4223421,20430
909,Rubius,Counter-Strike,4906241,17671
910,Summit1G,Apex Legends,5108268,7492
911,Rubius,World of Warcraft,1763273,7701
912,Tfue,Counter-Strike,3011808,42504
913,Shroud,Call of Duty,1267010,45498
914,Myth,Valorant,7713749,36975
915,DrDisrespect,GTA V,4464698,2299
916,Summit1G,GTA V,8917087,26049
917,DrDisrespect,Counter-Strike,3823013,10528
918,Summit1G,Counter-Strike,8069385,22691
919,Pokimane,Call of Duty,9772285,11630
920,Tfue,Call of Duty,891678,30870
921,DrDisrespect,GTA V,9944557,18894
922,Ninja,Dota 2,1833331,2645
923,Asmongold,GTA V,8314257,1814
924,Tfue,Counter-Strike,3897520,11792
925,xQc,Minecraft,8514723,35533
926,Summit1G,Counter-Strike,2456636,32931
927,Tfue,Call of Duty,8631283,23494
928,Shroud,Valorant,3189625,47867
929,Tfue,Counter-Strike,7389783,21680
930,Rubius,Minecraft,7749822,4843
931,DrDisrespect,Counter-Strike,1423187,39865
932,Asmongold,Counter-Strike,167759,15949
933,Ninja,Call of Duty,9872025,33040
934,Tfue,Valorant,8056328,18053
935,Tfue,Apex Legends,5162674,5143
936,Tfue,GTA V,1095976,39949
937,Shroud,Apex Legends,5757323,2805
938,Tfue,Dota 2,2471467,12451
939,Asmongold,GTA V,3079636,13415
940,Pokimane,Valorant,5165248,18589
941,Shroud,Counter-Strike,2106723,34175
942,Pokimane,Fortnite,1313135,23926
943,Summit1G,World of Warcraft,8081978,14281
944,Shroud,Valorant,9284819,13365
945,Pokimane,Valorant,909211,7228
946,Rubius,Valorant,5951173,2655
947,Pokimane,Valorant,518177,18180
948,DrDisrespect,League of Legends,7287651,36335
949,Rubius,Fortnite,9457144,2036
950,Summit1G,Counter-Strike,4115137,45051
951,Pokimane,Valorant,1632079,16229
952,xQc,League of Legends,2836787,35721
953,Tfue,Dota 2,6917876,32041
954,Rubius,Fortnite,7540525,24968
955,xQc,Call of Duty,235792,27033
956,Summit1G,Dota 2,3632058,48137
957,Pokimane,Fortnite,3727421,571
958,Myth,Valorant,2333144,49439
959,DrDisrespect,League of Legends,136539,13238
960,Asmongold,League of Legends,8597432,43655
961,Shroud,Counter-Strike,5052046,44761
962,Myth,GTA V,7182033,43274
963,Shroud,Call of Duty,476522,33330
964,Summit1G,Fortnite,6967550,49977
965,DrDisrespect,Fortnite,6697610,42023
966,Ninja,League of Legends,3177177,25419
967,Pokimane,Minecraft,7571218,19979
968,Ninja,Dota 2,6454696,48594
969,Myth,Call of Duty,1271754,15557
970,Rubius,League of Legends,6707787,26467
971,Asmongold,Call of Duty,9959833,32939
972,Myth,Counter-Strike,4358482,6900
973,Pokimane,GTA V,244266,4770
974,Tfue,Fortnite,5014293,17937
975,Ninja,Fortnite,4837387,39478
976,Pokimane,World of Warcraft,8986651,46878
977,xQc,Apex Legends,2127258,29077
978,Rubius,World of Warcraft,4883275,21935
979,xQc,Call of Duty,9798626,27124
980,Shroud,Minecraft,8947674,27118
981,Rubius,World of Warcraft,5861661,36585
982,Ninja,Counter-Strike,1032713,25597
983,Shroud,GTA V,3749244,21675
984,Rubius,GTA V,6354036,8869
985,Rubius,GTA V,5273416,1271
986,Tfue,Call of Duty,402298,41911
987,Rubius,Call of Duty,5438636,43444
988,Summit1G,Dota 2,6918123,23662
989,Summit1G,Valorant,1105138,20817
990,Summit1G,Dota 2,2213143,12278
991,Ninja,World of Warcraft,2163806,19582
992,Myth,Dota 2,5083811,19296
993,Tfue,Valorant,2870439,33852
994,DrDisrespect,Fortnite,565057,34297
995,DrDisrespect,GTA V,5385777,12219
996,Myth,Minecraft,8811940,3412
997,Asmongold,Call of Duty,6837882,19609
998,Myth,League of Legends,6585029,47195
999,Myth,Call of Duty,2798111,42961
1000,Pokimane,Fortnite,6074867,47917
1001,Myth,Call of Duty,1085619,42940
1002,Shroud,Apex Legends,5052556,14833
1003,Myth,Apex Legends,6633543,10354
1004,Ninja,Counter-Strike,8673252,23427
1005,xQc,Valorant,1122907,47988
1006,Summit1G,World of Warcraft,4931710,12648
1007,Myth,Fortnite,8275856,18681
1008,Ninja,Minecraft,7727663,18468
1009,Ninja,Counter-Strike,4507704,14681
1010,Pokimane,Minecraft,4321203,37365
1011,Tfue,Counter-Strike,5672669,33621
1012,Tfue,Counter-Strike,2172535,3227
1013,DrDisrespect,Valorant,8002406,49021
1014,Pokimane,Call of Duty,4094269,39040
1015,xQc,Minecraft,8662290,23581
1016,Tfue,Valorant,5356071,26879
1017,DrDisrespect,Dota 2,4252488,34191
1018,Pokimane,Valorant,9613715,12267
1019,Summit1G,Valorant,8502534,38127
1020,Ninja,Call of Duty,6663575,46615
1021,Summit1G,Dota 2,9918337,6223
1022,Myth,Dota 2,2598256,15745
1023,Pokimane,Fortnite,7312766,45977
1024,Asmongold,Fortnite,4607155,46423
1025,Shroud,World of Warcraft,6453774,5359
1026,xQc,Call of Duty,1852292,15595
1027,DrDisrespect,League of Legends,8154851,44902
1028,Tfue,World of Warcraft,176214,15250
1029,Summit1G,Fortnite,7217520,26111
1030,Ninja,GTA V,819570,790
1031,Rubius,Minecraft,7340837,19336
1032,Ninja,Call of Duty,4479551,7577
1033,Tfue,Fortnite,1684515,18439
1034,Rubius,Fortnite,4798070,9870
1035,Tfue,Valorant,8899637,41479
1036,Tfue,Call of Duty,2882443,12745
1037,xQc,Call of Duty,5290204,46198
1038,Summit1G,GTA V,382163,14794
1039,Rubius,Counter-Strike,8718340,36984
1040,Pokimane,Apex Legends,2145645,11523
1041,Myth,Call of Duty,2751598,9739
1042,Shroud,GTA V,4885504,12867
1043,Pokimane,Call of Duty,6262864,33889
1044,Tfue,Minecraft,9395054,47669
1045,Tfue,Counter-Strike,7914150,6086
1046,Myth,Apex Legends,8520714,30001
1047,Myth,Dota 2,594382,15657
1048,xQc,Valorant,9726693,10347
1049,Rubius,World of Warcraft,7569669,4562
1050,Summit1G,Minecraft,2199176,6777
1051,Shroud,Call of Duty,9371750,39151
1052,DrDisrespect,Valorant,3420328,26353
1053,Asmongold,Apex Legends,2701981,1461
1054,Summit1G,Dota 2,8286150,44648
1055,DrDisrespect,Fortnite,6172389,16119
1056,Tfue,GTA V,8226364,22972
1057,DrDisrespect,League of Legends,771645,33406
1058,Tfue,Fortnite,7524010,14182
1059,xQc,Valorant,8233629,8335
1060,Ninja,Counter-Strike,4669873,3518
1061,Myth,Call of Duty,7208038,12137
1062,Myth,GTA V,9743359,21598
1063,Shroud,GTA V,736841,19152
1064,Ninja,Dota 2,4650981,17065
1065,Rubius,World of Warcraft,8720516,24860
1066,Shroud,League of Legends,9201742,37620
1067,Asmongold,Apex Legends,5891600,3557
1068,Pokimane,Dota 2,9784289,36940
1069,Ninja,Fortnite,7793885,10336
1070,Rubius,Valorant,3984213,15123
1071,Asmongold,World of Warcraft,2247133,44627
1072,Asmongold,Counter-Strike,367257,14005
1073,xQc,League of Legends,6864908,17461
1074,DrDisrespect,Dota 2,182391,45743
1075,Myth,GTA V,7319572,22926
1076,Summit1G,Call of Duty,5488377,31578
1077,DrDisrespect,Counter-Strike,733159,20802
1078,DrDisrespect,GTA V,765299,14265
1079,Asmongold,League of Legends,1666610,29630
1080,Rubius,World of Warcraft,7936118,25231
1081,Rubius,Minecraft,249508,27763
1082,Summit1G,Fortnite,7136103,33945
1083,xQc,Fortnite,7132184,28574
1084,Tfue,Minecraft,5031274,29857
1085,Shroud,League of Legends,8464118,41806
1086,Summit1G,Fortnite,756768,17689
1087,Tfue,Apex Legends,2168363,14098
1088,Pokimane,Call of Duty,8861394,17973
1089,Shroud,World of Warcraft,6469527,43656
1090,Summit1G,Dota 2,7276308,12744
1091,Summit1G,Valorant,3606008,48477
1092,Rubius,Call of Duty,1967580,12051
1093,Summit1G,Counter-Strike,9495245,12740
1094,Rubius,GTA V,8457222,15768
1095,Asmongold,Dota 2,6093632,40511
1096,Tfue,Minecraft,9463046,971
1097,Rubius,Minecraft,9842317,17570
1098,DrDisrespect,Counter-Strike,434783,28525
1099,Myth,Minecraft,4642093,47830
1100,Myth,Minecraft,6224696,21307
1101,xQc,World of Warcraft,139732,11984
1102,Asmongold,World of Warcraft,238128,12310
1103,xQc,Dota 2,9009013,34178
1104,Summit1G,Dota 2,5362246,7640
1105,DrDisrespect,Counter-Strike,9290839,45376
1106,Summit1G,Counter-Strike,4002724,30209
1107,Shroud,Valorant,4617273,2134
1108,xQc,Minecraft,7772416,2730
1109,Summit1G,World of Warcraft,268665,36866
1110,Rubius,World of Warcraft,1235072,8427
1111,xQc,Valorant,1130558,28639
1112,Shroud,Counter-Strike,5356877,16257
1113,Tfue,Counter-Strike,9823042,12137
1114,Asmongold,Apex Legends,6598476,8336
1115,xQc,Call of Duty,2091582,21938
1116,Pokimane,Call of Duty,8883536,8450
1117,Rubius,GTA V,5621067,47466
1118,xQc,GTA V,2639355,33685
1119,Rubius,Minecraft,4804307,17532
1120,xQc,World of Warcraft,9026321,39521
1121,Summit1G,Counter-Strike,8270095,13729
1122,Rubius,Apex Legends,3948743,42406
1123,Myth,League of Legends,7551810,40445
1124,Myth,Counter-Strike,9608584,42377
1125,Asmongold,World of Warcraft,2571496,27478
1126,Asmongold,Call of Duty,7682622,20624
1127,DrDisrespect,Call of Duty,6591177,20486
1128,Rubius,Apex Legends,7137788,17130
1129,Summit1G,League of Legends,3643648,19481
1130,Summit1G,Call of Duty,7242309,37058
1131,DrDisrespect,World of Warcraft,239198,21585
1132,Rubius,GTA V,6904097,12458
1133,Summit1G,Call of Duty,3843850,21027
1134,Rubius,Fortnite,1487628,14784
1135,xQc,League of Legends,4673509,36660
1136,xQc,League of Legends,2780872,21037
1137,Ninja,Apex Legends,6205361,8774
1138,Ninja,League of Legends,6495087,41250
1139,Asmongold,Fortnite,3286935,30034
1140,Myth,Call of Duty,8194653,24231
1141,Rubius,Fortnite,7359447,8558
1142,Summit1G,League of Legends,2054540,18219
1143,Summit1G,League of Legends,9745771,47306
1144,Asmongold,GTA V,6806328,8381
1145,Summit1G,GTA V,4484428,11252
1146,Asmongold,Call of Duty,8376670,42763
1147,xQc,GTA V,5491567,40354
1148,xQc,Fortnite,3888496,10883
1149,DrDisrespect,Minecraft,7128738,46688
1150,Summit1G,Valorant,1083908,39848
1151,DrDisrespect,Dota 2,8400872,27414
1152,Tfue,Dota 2,8925233,17308
1153,DrDisrespect,Dota 2,9284163,33146
1154,Tfue,League of Legends,6127399,44713
1155,Pokimane,Dota 2,7417326,47287
1156,Rubius,Minecraft,1415089,3663
1157,DrDisrespect,Counter-Strike,6631770,36297
1158,Shroud,Apex Legends,952981,27539
1159,Asmongold,World of Warcraft,1400373,1684
1160,Shroud,League of Legends,4570226,26009
1161,Shroud,Counter-Strike,2840400,32837
1162,DrDisrespect,Apex Legends,3167493,3073
1163,xQc,Call of Duty,7579558,35160
1164,Asmongold,Apex Legends,2497427,1859
1165,DrDisrespect,Valorant,7715344,6807
1166,Asmongold,Fortnite,6349607,41423
1167,Rubius,Fortnite,9112875,24300
1168,Asmongold,Counter-Strike,8466787,44810
1169,Summit1G,World of Warcraft,7057526,24192
1170,xQc,GTA V,455125,33949
1171,Shroud,League of Legends,5237835,34398
1172,Myth,Dota 2,6620707,7494
1173,DrDisrespect,Minecraft,9775696,22281
1174,Tfue,Counter-Strike,7030589,45332
1175,Tfue,Valorant,8370735,34046
1176,DrDisrespect,World of Warcraft,4739468,10992
1177,Ninja,World of Warcraft,339558,9830
1178,DrDisrespect,League of Legends,4076189,45856
1179,Myth,League of Legends,9828688,34600
1180,DrDisrespect,Valorant,3155341,7343
1181,xQc,Fortnite,1302208,11586
1182,Tfue,Counter-Strike,6964392,23570
1183,Ninja,GTA V,5359329,43044
1184,Tfue,Valorant,3132852,17560
1185,Tfue,Minecraft,5509401,34264
1186,Asmongold,Minecraft,1773985,8397
1187,Rubius,Minecraft,3105685,41617
1188,xQc,Valorant,241448,48450
1189,Rubius,Minecraft,5266454,47286
1190,xQc,World of Warcraft,1736436,16098
1191,DrDisrespect,GTA V,4415477,11866
1192,Asmongold,GTA V,215852,28593
1193,DrDisrespect,Valorant,2997812,49494
1194,Tfue,Call of Duty,9866192,38690
1195,Asmongold,Minecraft,866760,1093
1196,Asmongold,World of Warcraft,7378260,37451
1197,xQc,Apex Legends,8546246,26443
1198,xQc,League of Legends,8418677,5237
1199,Summit1G,Dota 2,3390555,39490
1200,Pokimane,Dota 2,9744349,9288
1201,Asmongold,Apex Legends,2651994,39956
1202,Shroud,Valorant,7913309,2431
1203,xQc,League of Legends,4416149,9728
1204,Ninja,Fortnite,4133041,15021
1205,Shroud,Minecraft,2833702,33300
1206,xQc,League of Legends,9038680,6169
1207,Asmongold,Minecraft,1411061,537
1208,Ninja,League of Legends,4963873,45808
1209,Myth,Valorant,9757590,24452
1210,Rubius,Call of Duty,3814061,20275
1211,Rubius,Call of Duty,1601228,17781
1212,Rubius,Minecraft,4106450,31756
1213,Asmongold,Valorant,9982595,33201
1214,DrDisrespect,Apex Legends,2273341,26171
1215,xQc,Fortnite,8707356,8262
1216,Rubius,Dota 2,5262220,27465
1217,Rubius,GTA V,3012437,18645
1218,Summit1G,League of Legends,2852248,9825
1219,Asmongold,League of Legends,7798733,36325
1220,Asmongold,Apex Legends,6551254,41538
1221,Ninja,Fortnite,342479,19307
1222,Summit1G,Fortnite,1408244,15182
1223,Rubius,Counter-Strike,2649186,12372
1224,Shroud,Apex Legends,3637578,28882
1225,xQc,Call of Duty,5099276,16956
1226,Tfue,Apex Legends,2692483,23933
1227,Asmongold,Apex Legends,2174998,19370
1228,Asmongold,Call of Duty,4266169,45664
1229,Asmongold,Minecraft,4015862,5148
1230,Ninja,Valorant,2907119,47215
1231,Rubius,Dota 2,7825796,17985
1232,Myth,Apex Legends,3675503,24737
1233,Pokimane,World of Warcraft,8066543,41678
1234,DrDisrespect,Minecraft,835654,2573
1235,Summit1G,Minecraft,8002029,27456
1236,DrDisrespect,GTA V,8785763,22423
1237,Myth,Fortnite,8843081,23898
1238,Asmongold,Apex Legends,1370615,22164
1239,Summit1G,World of Warcraft,8546235,31090
1240,xQc,Dota 2,3371803,18635
1241,Tfue,Fortnite,8453120,6875
1242,DrDisrespect,World of Warcraft,541623,41208
1243,Myth,Counter-Strike,9006957,47822
1244,Shroud,Fortnite,5745524,14600
1245,Ninja,Counter-Strike,1941073,48783
1246,Rubius,World of Warcraft,2826150,2502
1247,Pokimane,Dota 2,7757842,46203
1248,Myth,Counter-Strike,612809,12224
1249,xQc,Apex Legends,7930396,17608
1250,Shroud,Valorant,1360510,39446
1251,Shroud,League of Legends,2280775,9032
1252,Ninja,League of Legends,2093461,32089
1253,Pokimane,Counter-Strike,3473486,47851
1254,DrDisrespect,Valorant,852630,45832
1255,Tfue,Fortnite,7658000,3494
1256,Myth,Apex Legends,5857254,41418
1257,Summit1G,World of Warcraft,342380,16681
1258,Tfue,GTA V,7554786,29784
1259,DrDisrespect,World of Warcraft,9742634,23277
1260,Ninja,League of Legends,2697293,41293
1261,Myth,Valorant,9155854,20687
1262,Myth,Dota 2,5373016,20962
1263,Shroud,League of Legends,3601191,20785
1264,Ninja,League of Legends,1300475,10229
1265,Ninja,Minecraft,3567866,39117
1266,Myth,GTA V,3843983,39511
1267,Ninja,Fortnite,3526684,19722
1268,Tfue,Apex Legends,9105033,23503
1269,Ninja,World of Warcraft,1537872,39141
1270,DrDisrespect,Dota 2,6096901,27783
1271,Pokimane,Fortnite,8770589,10223
1272,Shroud,Dota 2,1075127,34605
1273,Ninja,GTA V,261915,12036
1274,Rubius,World of Warcraft,3075954,46898
1275,Pokimane,Counter-Strike,2406690,33605
1276,Shroud,World of Warcraft,4980891,32378
1277,Asmongold,Dota 2,7233347,41577
1278,Rubius,Minecraft,4112898,29377
1279,Rubius,Call of Duty,4510389,26616
1280,xQc,Call of Duty,6322146,24461
1281,xQc,Dota 2,5682462,12527
1282,Tfue,Dota 2,2691514,23484
1283,Ninja,League of Legends,8960627,32908
1284,Asmongold,Apex Legends,6971896,10651
1285,Shroud,Dota 2,397402,18643
1286,Rubius,League of Legends,8092267,20610
1287,Rubius,Counter-Strike,2136423,48848
1288,Pokimane,World of Warcraft,1192205,26987
1289,xQc,Apex Legends,5727491,31758
1290,DrDisrespect,Fortnite,8389081,11310
1291,Asmongold,World of Warcraft,6078633,29471
1292,Tfue,Minecraft,6283185,4144
1293,Pokimane,World of Warcraft,8388894,42229
1294,Rubius,Minecraft,3509828,1752
1295,Ninja,Call of Duty,9181922,22445
1296,Rubius,World of Warcraft,1719779,20553
1297,Pokimane,World of Warcraft,3258280,12524
1298,Summit1G,Minecraft,5096074,22870
1299,Ninja,GTA V,9540750,35978
1300,Myth,League of Legends,4375212,45577
1301,Tfue,League of Legends,8860269,37105
1302,Ninja,Valorant,4263909,1728
1303,Shroud,League of Legends,3347793,1631
1304,xQc,Call of Duty,9531111,8317
1305,Rubius,Valorant,7187852,49554
1306,Tfue,Call of Duty,5978133,15637
1307,DrDisrespect,Valorant,1867845,19167
1308,xQc,Valorant,4765734,17212
1309,DrDisrespect,GTA V,9811843,11386
1310,Summit1G,Counter-Strike,7443826,11045
1311,Tfue,GTA V,8991139,40633
1312,Myth,Valorant,2323300,7568
1313,Ninja,Minecraft,4499547,22635
1314,Pokimane,Apex Legends,3667912,39813
1315,Pokimane,GTA V,6106301,40907
1316,Asmongold,Apex Legends,9797812,42683
1317,Rubius,Minecraft,5442422,12012
1318,Summit1G,World of Warcraft,3220526,13353
1319,Tfue,Fortnite,6433096,45317
1320,Pokimane,Valorant,9123500,48600
1321,xQc,Valorant,4512893,45877
1322,Ninja,Minecraft,784662,1424
1323,Myth,Minecraft,3345338,48653
1324,Summit1G,Dota 2,4170524,38732
1325,Myth,Call of Duty,6644192,22613
1326,Ninja,Call of Duty,3913522,21431
1327,Ninja,Dota 2,9867411,11090
1328,Asmongold,GTA V,9929284,39996
1329,Asmongold,Minecraft,668711,28847
1330,Shroud,Counter-Strike,9084943,7222
1331,Shroud,Dota 2,8567207,33206
1332,xQc,Valorant,5802176,44222
